_id,name,village,district,pricePerNight,propertyType,category,maxGuests,ownerContact,lat,lng
"osm-342116234","Clouds End","Dehradun","Dehradun","4000","Boutique Hotel","Nature Eco","6","","30.467355","78.0077257"
"osm-443422262","GMVN Guest House, Khirsu","Rudraprayag","Rudraprayag","2000","Homestay","Char Dham","4","","30.1713933","78.8649517"
"osm-506152924","Hotel Paradise Continental","Dehradun","Dehradun","3900","Boutique Hotel","Nature Eco","6","","30.4549857","78.084301"
"osm-567473845","Aarti Hotel","Haridwar","Haridwar","3600","Boutique Hotel","Nature Eco","2","","29.9482297","78.1580687"
"osm-761911864","Maletha Riverside Resort","Rudraprayag","Rudraprayag","3900","Boutique Hotel","Char Dham","6","","30.2248269","78.7321828"
"osm-1021961337","Hotel Ellbee Ganga View","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","4","","30.1022277","78.29231"
"osm-1044504379","Pacific Hotel","Dehradun","Dehradun","3300","Boutique Hotel","Nature Eco","6","","30.3271845","78.0482559"
"osm-1171045390","Song River Dharma Ashram","Shyampur Rishikesh","Haridwar","3600","Boutique Hotel","Nature Eco","2","+91 963 906 0712","30.0459353","78.23634"
"osm-1185819789","Hotel Surya","Haridwar","Haridwar","3500","Boutique Hotel","Nature Eco","6","","30.1252424","78.3306774"
"osm-1239486672","Sterling Holidays","Mussoorie","Dehradun","3500","Boutique Hotel","Nature Eco","4","+91 0135 2631713;+91 0135 2631715","30.452388","78.0563398"
"osm-1332264552","Green Leaf","Nainital","Nainital","3800","Boutique Hotel","Nature Eco","4","","29.3759295","79.4621646"
"osm-1347457962","KMVN Ramgarh","Nainital","Nainital","3500","Boutique Hotel","Nature Eco","4","","29.4224356","79.5532856"
"osm-1347466390","KMVN Mukteshwar","Almora","Almora","3900","Boutique Hotel","Nature Eco","2","","29.4764321","79.6446336"
"osm-1347475838","KMVN Almora","Almora","Almora","3700","Boutique Hotel","Nature Eco","5","","29.5908242","79.647871"
"osm-1347480256","Forest Department GH","Bageshwar","Bageshwar","2200","Homestay","Wildlife","3","","29.6987555","79.7541406"
"osm-1347480275","KMVN Binsar","Bageshwar","Bageshwar","3700","Boutique Hotel","Nature Eco","2","","29.6955118","79.7637537"
"osm-1347489320","GMVN Gwaldam","Bageshwar","Bageshwar","3700","Boutique Hotel","Nature Eco","2","","30.0031994","79.5685349"
"osm-1413093393","Rishikesh Valley","Haridwar","Haridwar","3200","Boutique Hotel","Nature Eco","5","","30.0917838","78.3836746"
"osm-1446998389","Welcomhotel by ITC Savoy Hotel","Dehradun","Dehradun","3900","Boutique Hotel","Nature Eco","6","","30.4601512","78.0624404"
"osm-1676753958","Sharda Hotel","Nainital","Nainital","3500","Boutique Hotel","Nature Eco","5","","29.2146156","79.5283741"
"osm-1803577554","Armadale","Nainital","Nainital","3200","Boutique Hotel","Nature Eco","6","","29.3952024","79.4435036"
"osm-1805682831","Ayan Jungle Camp","Nainital","Nainital","3800","Boutique Hotel","Wildlife","3","","29.3869978","79.4479774"
"osm-2377319204","Laxmi Lodge","Haridwar","Haridwar","2000","Homestay","Nature Eco","6","","30.1131227","78.306908"
"osm-2412743384","song river","Haridwar","Haridwar","3400","Boutique Hotel","Nature Eco","6","","30.0417234","78.24159"
"osm-2617724153","GMVN","Tehri Garhwal","Tehri Garhwal","3400","Boutique Hotel","Nature Eco","5","","30.4236322","78.2477001"
"osm-2619676632","GMVN-Bharat Bhoomi","Haridwar","Haridwar","3500","Boutique Hotel","Nature Eco","4","+91-135-2433002","30.1136412","78.2825949"
"osm-2657566341","Bhandari Swiss Cottage","Haridwar","Haridwar","3200","Boutique Hotel","Nature Eco","3","+91135 243 2939","30.127467","78.3184711"
"osm-2657566342","Om Blessed Cottage","Haridwar","Haridwar","3300","Boutique Hotel","Nature Eco","4","","30.1309674","78.324667"
"osm-2657763353","La Casa","Haridwar","Haridwar","3400","Boutique Hotel","Nature Eco","5","","29.9501136","78.1601587"
"osm-2658110176","Padmini Nivas","Dehradun","Dehradun","3300","Boutique Hotel","Nature Eco","3","","30.4588288","78.0681904"
"osm-2802900843","RESORT / GUEST HOUSE BINSAR","Almora","Almora","1800","Homestay","Nature Eco","5","","29.6788372","79.7197416"
"osm-2916293701","Uttrayan Hotel chakrata","Dehradun","Dehradun","3600","Boutique Hotel","Nature Eco","3","","30.688214","77.873408"
"osm-3068361888","Central Academy Guest House","Dehradun","Dehradun","2400","Homestay","Nature Eco","5","","30.3395192","78.0008738"
"osm-3068361903","New Hostel","Dehradun","Dehradun","1200","Backpacker Hostel","Adventure","5","","30.3440115","77.994218"
